iter	Passed	Remaining
1318	26036	368754
1319	26059	368782
1320	26079	368770
1321	26101	368771
1322	26119	368739
1323	26138	368701
1324	26158	368684
1325	26178	368667
1326	26196	368627
1327	26215	368595
1328	26232	368530
1329	26252	368524
1330	26273	368513
1331	26294	368517
1332	26311	368460
1333	26329	368411
1334	26352	368434
1335	26368	368368
1336	26389	368363
1337	26408	368334
1338	26425	368277
1339	26443	368238
1340	26464	368238
1341	26486	368249
1342	26511	368297
1343	26527	368223
1344	26546	368190
1345	26564	368159
1346	26583	368118
1347	26602	368097
1348	26622	368072
1349	26641	368041
1350	26658	367991
1351	26678	367969
1352	26703	368025
1353	26723	368012
1354	26745	368020
1355	26765	368009
1356	26785	367987
1357	26805	367974
1358	26825	367953
1359	26845	367945
1360	26865	367924
1361	26886	367920
1362	26906	367912
1363	26925	367876
1364	26947	367892
1365	26967	367869
1366	26983	367799
1367	27001	367751
1368	27022	367753
1369	27041	367718
1370	27061	367707
1371	27078	367648
1372	27100	367665
1373	27126	367726
1374	27141	367650
1375	27162	367647
1376	27179	367588
1377	27198	367554
1378	27218	367532
1379	27234	367473
1380	27249	367379
1381	27269	367367
1382	27289	367350
1383	27309	367334
1384	27332	367356
1385	27350	367314
1386	27369	367291
1387	27387	367247
1388	27407	367224
1389	27426	367199
1390	27442	367134
1391	27461	367099
1392	27477	367024
1393	27497	367011
1394	27518	367012
1395	27537	366984
1396	27561	367023
1397	27591	367133
1398	27619	367228
1399	27639	367206
1400	27658	367185
1401	27676	367140
1402	27699	367157
1403	27717	367125
1404	27739	367122
1405	27758	367096
1406	27779	367091
1407	27799	367077
1408	27822	367099
1409	27838	367034
1410	27855	366982
1411	27877	366989
1412	27897	366970
1413	27917	366951
1414	27936	366926
1415	27954	366879
1416	27971	366831
1417	27990	366802
1418	28009	366773
1419	28029	366755
1420	28049	366729
1421	28067	366691
1422	28086	366666
1423	28107	366654
1424	28134	366740
1425	28151	366675
1426	28173	366684
1427	28194	366680
1428	28212	366643
1429	28230	366599
1430	28250	366579
1431	28269	366557
1432	28290	366546
1433	28310	366531
1434	28330	366523
1435	28354	366551
1436	28372	366518
1437	28391	366477
1438	28409	366443
1439	28429	366428
1440	28449	366407
1441	28470	366404
1442	28490	366387
1443	28509	366360
1444	28536	366430
1445	28553	366382
1446	28572	366347
1447	28591	366319
1448	28610	366289
1449	28628	366247
1450	28647	366216
1451	28663	366153
1452	28681	366109
1453	28700	366082
1454	28720	366062
1455	28742	366077
1456	28763	366064
1457	28782	366036
1458	28803	366033
1459	28822	366011
1460	28844	366018
1461	28864	366002
1462	28883	365968
1463	28903	365953
1464	28923	365930
1465	28943	365925
1466	28964	365912
1467	28986	365926
1468	29003	365864
1469	29023	365858
1470	29045	365868
1471	29064	365833
1472	29085	365830
1473	29106	365826
1474	29127	365827
1475	29149	365828
1476	29173	365857
1477	29192	365833
1478	29209	365786
1479	29229	365766
1480	29251	365767
1481	29268	365720
1482	29287	365691
1483	29306	365654
1484	29327	365661
1485	29348	365657
1486	29368	365630
1487	29385	365578
1488	29403	365544
1489	29422	365512
1490	29443	365502
1491	29461	365465
1492	29480	365431
1493	29499	365411
1494	29518	365373
1495	29536	365337
1496	29557	365335
1497	29577	365320
1498	29597	365304
1499	29617	365278
1500	29638	365272
1501	29656	365241
1502	29676	365216
1503	29696	365208
1504	29714	365158
1505	29737	365180
1506	29759	365191
1507	29783	365226
1508	29802	365197
1509	29820	365155
1510	29841	365144
1511	29859	365110
1512	29877	365064
1513	29896	365036
1514	29912	364976
1515	29931	364947
1516	29953	364949
1517	29971	364907
1518	29989	364874
1519	30010	364861
1520	30028	364829
1521	30049	364813
1522	30069	364804
1523	30088	364771
1524	30104	364712
1525	30121	364660
1526	30142	364651
1527	30162	364638
1528	30180	364592
1529	30199	364568
1530	30223	364592
1531	30242	364568
1532	30261	364542
1533	30280	364512
1534	30300	364498
1535	30320	364480
1536	30340	364459
1537	30361	364456
1538	30378	364408
1539	30397	364375
1540	30419	364376
1541	30442	364398
1542	30462	364382
1543	30478	364325
1544	30496	364275
1545	30515	364251
1546	30532	364201
1547	30549	364151
1548	30569	364135
1549	30590	364128
1550	30610	364111
1551	30629	364076
1552	30649	364064
1553	30668	364040
1554	30686	363991
1555	30707	363986
1556	30727	363971
1557	30746	363951
1558	30766	363926
1559	30786	363911
1560	30807	363906
1561	30822	363833
1562	30847	363871
1563	30869	363883
1564	30888	363855
1565	30908	363830
1566	30925	363783
1567	30942	363736
1568	30961	363706
1569	30982	363694
1570	31001	363675
1571	31020	363637
1572	31038	363603
1573	31057	363579
1574	31085	363651
1575	31106	363647
1576	31122	363585
1577	31138	363513
1578	31158	363497
1579	31178	363491
1580	31197	363458
1581	31216	363432
1582	31233	363376
1583	31253	363366
1584	31276	363376
1585	31298	363390
1586	31320	363391
1587	31337	363339
1588	31359	363351
1589	31378	363317
1590	31395	363265
1591	31417	363273
1592	31432	363196
1593	31454	363203
1594	31474	363194
1595	31494	363178
1596	31514	363159
1597	31533	363124
1598	31550	363074
1599	31569	363045
1600	31590	363041
1601	31610	363029
1602	31631	363023
1603	31650	362988
1604	31674	363021
1605	31700	363080
1606	31720	363055
1607	31738	363014
1608	31756	362983
1609	31776	362960
1610	31797	362952
1611	31814	362912
1612	31834	362884
1613	31851	362834
1614	31872	362833
1615	31894	362835
1616	31916	362847
1617	31936	362825
1618	31953	362777
1619	31972	362755
1620	31994	362751
1621	32011	362706
1622	32032	362700
1623	32051	362672
1624	32073	362672
1625	32091	362641
1626	32111	362619
1627	32130	362595
1628	32149	362562
1629	32168	362536
1630	32186	362502
1631	32205	362464
1632	32222	362414
1633	32244	362424
1634	32264	362403
1635	32290	362453
1636	32312	362460
1637	32333	362463
1638	32351	362415
1639	32368	362366
1640	32390	362378
1641	32411	362364
1642	32429	362331
1643	32447	362294
1644	32466	362266
1645	32490	362286
1646	32511	362289
1647	32531	362270
1648	32549	362225
1649	32567	362188
1650	32587	362169
1651	32608	362167
1652	32626	362133
1653	32647	362117
1654	32663	362064
1655	32685	362071
1656	32706	362064
1657	32727	362056
1658	32750	362068
1659	32767	362024
1660	32786	361989
1661	32805	361968
1662	32823	361930
1663	32842	361897
1664	32859	361854
